SIMULATION PARAMETERS:
n = 27
m = 48
p = 6
resource_noise_scale = 0.27777776
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	NATION 5 S	NATION 5 R	NATION 5 A_BAR	NATION 5 ACTION	
12	12	4.610825	4.7272725	Colonize	12	6.0560436	4.7272725	Colonize	12	4.4335475	4.909091	Colonize	12	3.690628	4.7272725	Colonize	12	3.6495512	4.6363635	Colonize	12	3.3674607	4.7272725	Colonize	
13	13	4.8549347	5.0	Colonize	13	6.5497966	4.6666665	Colonize	13	4.696369	5.0	Colonize	13	3.802267	5.0	Colonize	13	3.828418	4.75	Colonize	13	3.5821197	5.0	Colonize	
14	14	5.306348	5.076923	Colonize	14	7.160929	5.076923	Colonize	14	5.0695486	5.076923	Colonize	14	4.0730376	5.076923	Colonize	14	4.0336823	4.8461537	Colonize	14	4.0074306	5.076923	Colonize	
15	15	5.7487764	5.142857	Colonize	15	7.711233	5.0	Colonize	15	5.4308877	5.142857	Colonize	15	4.2527494	5.0	Colonize	15	4.2256293	4.785714	Colonize	15	4.363241	5.0	Colonize	
16	16	5.9963994	5.2	Colonize	16	8.160113	5.2	Colonize	16	5.663802	5.2	Colonize	16	4.3891544	5.2	Colonize	16	4.4009485	4.733333	Colonize	16	4.595042	5.2	Colonize	
17	17	6.4605293	5.25	Colonize	17	8.727385	5.25	Colonize	17	6.0523996	5.25	Colonize	17	4.5426354	5.375	Colonize	17	4.7086935	5.0625	Colonize	17	4.957295	5.25	Colonize	
18	18	6.8530045	5.1764708	Colonize	18	9.252766	5.2941175	Colonize	18	6.425443	5.2941175	Colonize	18	4.9061	5.4117646	Colonize	18	5.002694	5.117647	Colonize	18	5.206682	5.1764708	Colonize	
19	19	7.1336923	5.3333335	Colonize	19	9.700508	5.3333335	Colonize	19	6.6152844	5.3333335	Colonize	19	5.1087813	5.3333335	Colonize	19	5.2515836	5.1666665	Colonize	19	5.3685136	5.3333335	Colonize	
20	20	7.3252625	5.4736843	Colonize	20	10.16685	5.4736843	Colonize	20	6.869729	5.368421	Colonize	20	5.2392454	5.4736843	Colonize	20	5.7306185	5.2105265	Colonize	20	5.461917	5.4736843	Colonize	
21	21	7.390834	5.6	Colonize	21	10.372635	5.6	Colonize	21	7.116751	5.4	Colonize	21	5.4746227	5.6	Colonize	21	6.1950536	5.25	Colonize	21	5.5896077	5.6	Colonize	
22	22	7.864778	5.6190476	Colonize	22	10.8998165	5.6190476	Colonize	22	7.24994	5.428571	Colonize	22	5.731905	5.6190476	Colonize	22	6.600897	5.285714	Colonize	22	6.021887	5.6190476	Colonize	
23	23	8.14423	5.5454545	Colonize	23	11.379042	5.6363635	Colonize	23	7.490101	5.4545455	Colonize	23	5.979208	5.5454545	Colonize	23	7.2526774	5.318182	Colonize	23	6.3755856	5.5454545	Colonize	
24	24	8.416784	5.652174	Colonize	24	11.790994	5.7391305	Colonize	24	7.716403	5.478261	Colonize	24	6.187014	5.652174	Colonize	24	7.8705163	5.2608695	Colonize	24	6.5999765	5.652174	Colonize	
25	25	8.741787	5.75	Colonize	25	12.183585	5.75	Colonize	25	7.897404	5.5	Colonize	25	6.336694	5.75	Colonize	25	8.42476	5.375	Colonize	25	6.80273	5.75	Colonize	
26	26	9.204869	5.76	Colonize	26	12.680769	5.76	Colonize	26	8.111442	5.6	Colonize	26	6.47518	5.84	Colonize	26	9.091798	5.4	Colonize	26	7.1562014	5.76	Colonize	
27	27	9.527325	5.6923075	Colonize	27	13.170663	5.769231	Colonize	27	8.271769	5.6923075	Colonize	27	6.7337837	5.8461537	Colonize	27	9.730177	5.423077	Colonize	27	7.4820848	5.6923075	Colonize	
28	28	9.761891	5.7777777	Colonize	28	13.641075	5.851852	Colonize	28	8.375957	5.7777777	Colonize	28	6.9401207	5.7777777	Colonize	28	10.245397	5.4444447	Colonize	28	7.694474	5.7777777	Colonize	
29	29	10.017334	5.857143	Colonize	29	14.110107	5.857143	Colonize	29	8.45844	5.857143	Colonize	29	7.104726	5.857143	Colonize	29	10.8432865	5.464286	Colonize	29	7.8787713	5.857143	Colonize	
30	30	10.447166	5.862069	Colonize	30	14.547574	5.9310346	Colonize	30	8.702863	5.862069	Colonize	30	7.3252735	5.9310346	Colonize	30	11.326362	5.4827585	Colonize	30	8.282306	5.862069	Colonize	
31	31	10.867622	5.866667	Colonize	31	14.87176	6.0	Colonize	31	8.841345	5.8	Colonize	31	7.556774	6.0	Colonize	31	11.7414055	5.5	Colonize	31	8.683115	5.8	Colonize	
32	32	11.128934	5.870968	Colonize	32	15.551472	6.0	Colonize	32	8.907379	5.870968	Colonize	32	7.7620425	6.0	Colonize	32	12.40032	5.516129	Colonize	32	9.076149	5.870968	Colonize	
33	33	11.321162	5.9375	Colonize	33	16.199003	6.0	Colonize	33	9.02647	5.9375	Colonize	33	7.93064	5.9375	Colonize	33	12.909309	5.53125	Colonize	33	9.320364	5.9375	Colonize	
34	34	11.792405	5.939394	Colonize	34	16.73296	6.060606	Colonize	34	9.093558	6.0	Colonize	34	8.088774	6.0	Colonize	34	13.289587	5.5454545	Colonize	34	9.827498	5.939394	Colonize	
35	35	12.168965	5.882353	Colonize	35	17.232946	6.117647	Colonize	35	9.157632	6.0588236	Colonize	35	8.237766	6.0588236	Colonize	35	13.976624	5.5588236	Colonize	35	10.3317795	5.9411764	Colonize	
36	36	12.401905	5.9428573	Colonize	36	17.672821	6.1714287	Colonize	36	9.242794	6.114286	Colonize	36	8.442302	6.114286	Colonize	36	14.49879	5.571429	Colonize	36	10.746301	6.0	Colonize	
37	37	12.612397	6.0	Colonize	37	18.041151	6.1666665	Colonize	37	9.536391	6.111111	Colonize	37	8.70508	6.111111	Colonize	37	14.901174	5.5833335	Colonize	37	11.129836	6.0	Colonize	
38	38	13.2279	6.0	Colonize	38	18.611189	6.1621623	Colonize	38	9.689039	6.0540543	Colonize	38	8.883406	6.0540543	Colonize	38	15.458609	5.5945945	Colonize	38	11.605865	6.0	Colonize	
39	39	13.59794	5.9473686	Colonize	39	19.158737	6.1578946	Colonize	39	9.750323	6.105263	Colonize	39	9.002593	6.105263	Colonize	39	15.925462	5.605263	Colonize	39	12.031371	6.0	Colonize	
40	40	13.736312	6.0	Colonize	40	19.638844	6.205128	Colonize	40	9.825591	6.1538463	Colonize	40	9.16459	6.1538463	Colonize	40	16.307325	5.6153846	Colonize	40	12.371835	6.0	Colonize	
41	41	13.950587	6.05	Colonize	41	20.07903	6.25	Colonize	41	9.938724	6.2	Colonize	41	9.28947	6.2	Colonize	41	16.808342	5.625	Colonize	41	12.57212	6.05	Colonize	
42	42	14.326338	6.0487804	Colonize	42	20.437328	6.292683	Colonize	42	10.037056	6.243902	Colonize	42	9.50615	6.195122	Colonize	42	17.273918	5.634146	Colonize	42	12.91076	6.0487804	Colonize	
43	43	14.6619425	6.047619	Colonize	43	20.776308	6.285714	Colonize	43	10.051141	6.285714	Colonize	43	9.7043085	6.1904764	Colonize	43	17.698532	5.6904764	Colonize	43	13.246709	6.0	Colonize	
44	44	14.95813	6.0930233	Colonize	44	21.243359	6.27907	Colonize	44	10.310913	6.27907	Colonize	44	9.852314	6.2325583	Colonize	44	18.063929	5.744186	Colonize	44	13.510967	6.0465117	Colonize	
45	45	15.2570095	6.1363635	Colonize	45	21.708803	6.2727275	Colonize	45	10.558817	6.2727275	Colonize	45	9.954513	6.2272725	Colonize	45	18.511942	5.7954545	Colonize	45	13.611875	6.090909	Colonize	
46	46	15.521576	6.177778	Colonize	46	22.130009	6.266667	Colonize	46	10.790965	6.266667	Colonize	46	10.116785	6.266667	Colonize	46	18.85592	5.8444443	Colonize	46	13.900634	6.088889	Colonize	
47	47	15.799387	6.2173915	Colonize	47	22.473085	6.304348	Colonize	47	10.976895	6.304348	Colonize	47	10.304941	6.304348	Colonize	47	19.158632	5.8913045	Colonize	47	14.081021	6.0869565	Colonize	
48	48	16.087925	6.255319	Colonize	48	22.765398	6.3404255	Colonize	48	11.125562	6.3404255	Colonize	48	10.403027	6.3404255	Colonize	48	19.303339	5.893617	Colonize	48	14.255649	6.12766	Colonize	
49	49	16.253292	6.25	Colonize	49	23.083708	6.375	Colonize	49	11.256189	6.375	Colonize	49	10.456525	6.375	Colonize	49	19.469835	5.9375	Colonize	49	14.375947	6.1666665	Colonize	
50	50	16.351633	6.285714	Colonize	50	23.406496	6.408163	Colonize	50	11.476272	6.367347	Colonize	50	10.705895	6.367347	Colonize	50	19.623384	5.979592	Colonize	50	14.658228	6.2040815	Colonize	
51	51	16.404829	6.32	Colonize	51	23.8806	6.4	Colonize	51	11.680299	6.32	Colonize	51	10.904757	6.36	Colonize	51	19.67324	6.02	Colonize	51	14.905902	6.24	Colonize	
52	52	16.733765	6.3137255	Colonize	52	24.308132	6.392157	Colonize	52	11.805594	6.352941	Colonize	52	11.062467	6.392157	Colonize	52	19.805527	6.0588236	Colonize	52	15.045839	6.27451	Colonize	
53	53	17.03372	6.3076925	Colonize	53	24.707188	6.3846154	Colonize	53	11.867927	6.3846154	Colonize	53	11.160556	6.3846154	Colonize	53	19.978336	6.0961537	Colonize	53	15.116387	6.3076925	Colonize	
54	54	17.245062	6.3396225	Colonize	54	25.05517	6.4150944	Colonize	54	11.935789	6.4150944	Colonize	54	11.2655	6.4150944	Colonize	54	20.408495	6.09434	Colonize	54	15.177167	6.3018866	Colonize	
55	55	17.45825	6.3703704	Colonize	55	25.455887	6.4444447	Colonize	55	12.008655	6.4444447	Colonize	55	11.423311	6.4444447	Colonize	55	20.783518	6.0925927	Colonize	55	15.241203	6.3333335	Colonize	
56	56	17.7254	6.4	Colonize	56	25.909523	6.4727273	Colonize	56	12.072925	6.4727273	Colonize	56	11.476995	6.4727273	Colonize	56	21.04008	6.090909	Colonize	56	15.308798	6.3636365	Colonize	
57	57	17.922247	6.428571	Colonize	57	26.372725	6.5	Colonize	57	12.113795	6.5	Colonize	57	11.52834	6.5	Colonize	57	21.199884	6.125	Colonize	57	15.596684	6.357143	Colonize	
58	58	18.106287	6.4561405	Colonize	58	26.932795	6.491228	Colonize	58	12.320688	6.491228	Colonize	58	11.725037	6.491228	Colonize	58	21.600582	6.122807	Colonize	58	15.839422	6.3157897	Colonize	
59	59	18.341623	6.4827585	Colonize	59	27.318497	6.448276	Colonize	59	12.5195265	6.4827585	Colonize	59	11.900021	6.448276	Colonize	59	21.937904	6.12069	Colonize	59	15.935562	6.3448277	Colonize	
60	60	18.506336	6.4745765	Colonize	60	27.690702	6.4745765	Colonize	60	12.710627	6.4745765	Colonize	60	12.006889	6.4745765	Colonize	60	22.251257	6.118644	Colonize	60	15.983298	6.3728814	Colonize	
61	61	18.705332	6.5	Colonize	61	28.079329	6.5	Colonize	61	12.870242	6.5333333	Colonize	61	12.105577	6.5	Colonize	61	22.591246	6.1833334	Colonize	61	16.045916	6.4	Colonize	
62	62	19.03692	6.491803	Colonize	62	28.470947	6.52459	Colonize	62	13.068112	6.557377	Colonize	62	12.244962	6.52459	Colonize	62	22.94186	6.2131147	Colonize	62	16.30846	6.3934426	Colonize	
63	63	19.349854	6.483871	Colonize	63	28.843613	6.548387	Colonize	63	13.198529	6.548387	Colonize	63	12.395799	6.548387	Colonize	63	23.32509	6.2419353	Colonize	63	16.548069	6.354839	Colonize	
64	64	19.620909	6.5079365	Colonize	64	29.19813	6.571429	Colonize	64	13.319864	6.571429	Colonize	64	12.585468	6.571429	Colonize	64	23.633236	6.269841	Colonize	64	16.744905	6.3809524	Colonize	
65	65	19.88001	6.53125	Colonize	65	29.758226	6.5625	Colonize	65	13.433256	6.59375	Colonize	65	12.855145	6.5625	Colonize	65	23.906425	6.296875	Colonize	65	16.867191	6.40625	Colonize	
66	66	20.138533	6.5538464	Colonize	66	30.252821	6.523077	Colonize	66	13.65371	6.584615	Colonize	66	13.106955	6.523077	Colonize	66	24.055386	6.3230767	Colonize	66	16.933285	6.4307694	Colonize	
67	67	20.38317	6.5757575	Colonize	67	30.736044	6.5151515	Colonize	67	13.87001	6.5757575	Colonize	67	13.249103	6.5454545	Colonize	67	24.181938	6.318182	Colonize	67	17.242676	6.4242425	Colonize	
68	68	20.613203	6.597015	Colonize	68	31.145737	6.567164	Colonize	68	14.081899	6.597015	Colonize	68	13.38682	6.567164	Colonize	68	24.289482	6.3432837	Colonize	68	17.515291	6.3880596	Colonize	
69	69	20.833178	6.617647	Colonize	69	31.586987	6.5882354	Colonize	69	14.29164	6.617647	Colonize	69	13.555736	6.5882354	Colonize	69	24.416107	6.367647	Colonize	69	17.673859	6.4117646	Colonize	
70	70	20.98606	6.6086955	Colonize	70	31.883492	6.6086955	Colonize	70	14.458321	6.637681	Colonize	70	13.670023	6.6086955	Colonize	70	24.66816	6.3913045	Colonize	70	17.78242	6.4347825	Colonize	
71	71	21.162651	6.6285715	Colonize	71	32.209187	6.6285715	Colonize	71	14.605254	6.6285715	Colonize	71	13.790449	6.6285715	Colonize	71	24.84546	6.4142857	Colonize	71	17.816988	6.457143	Colonize	
72	72	21.42651	6.619718	Colonize	72	32.73131	6.619718	Colonize	72	14.726465	6.647887	Colonize	72	14.177222	6.619718	Colonize	72	25.242512	6.4084506	Colonize	72	18.118572	6.450704	Colonize	
73	73	21.671263	6.611111	Colonize	73	33.249924	6.5833335	Colonize	73	14.884985	6.6666665	Colonize	73	14.544612	6.611111	Colonize	73	25.58863	6.4027777	Colonize	73	18.411568	6.4444447	Colonize	
74	74	21.871016	6.60274	Colonize	74	33.68837	6.60274	Colonize	74	15.161074	6.657534	Colonize	74	14.880171	6.630137	Colonize	74	25.909727	6.4246573	Colonize	74	18.630728	6.4657536	Colonize	
75	75	22.093454	6.6216216	Colonize	75	34.058884	6.6216216	Colonize	75	15.427844	6.6486487	Colonize	75	15.166492	6.6486487	Colonize	75	26.225937	6.4459457	Colonize	75	18.70178	6.4594593	Colonize	
76	76	22.355772	6.64	Colonize	76	34.37979	6.64	Colonize	76	15.632159	6.6666665	Colonize	76	15.431931	6.64	Colonize	76	26.501549	6.4666667	Colonize	76	18.715523	6.48	Colonize	
77	77	22.604696	6.6578946	Colonize	77	34.72014	6.6578946	Colonize	77	15.836144	6.6842103	Colonize	77	15.603288	6.6578946	Colonize	77	26.842794	6.486842	Colonize	77	19.023327	6.4736843	Colonize	
78	78	22.814318	6.6753244	Colonize	78	35.08125	6.6753244	Colonize	78	16.019749	6.7012987	Colonize	78	15.776227	6.6753244	Colonize	78	27.166878	6.5064936	Colonize	78	19.304245	6.4675326	Colonize	
79	79	23.009766	6.6923075	Colonize	79	35.482697	6.6923075	Colonize	79	16.185354	6.717949	Colonize	79	16.221512	6.6666665	Colonize	79	27.362082	6.525641	Colonize	79	19.51623	6.4615383	Colonize	
80	80	23.168304	6.708861	Colonize	80	35.84625	6.708861	Colonize	80	16.337828	6.708861	Colonize	80	16.593306	6.658228	Colonize	80	27.516434	6.544304	Colonize	80	19.644613	6.481013	Colonize	
81	81	23.364073	6.725	Colonize	81	36.076622	6.725	Colonize	81	16.456089	6.725	Colonize	81	16.958788	6.675	Colonize	81	27.651693	6.5375	Colonize	81	19.715374	6.5	Colonize	
82	82	23.665653	6.716049	Colonize	82	36.519817	6.716049	Colonize	82	16.798079	6.716049	Colonize	82	17.312748	6.6666665	Colonize	82	27.765549	6.5555553	Colonize	82	20.03545	6.4938273	Colonize	
83	83	23.934881	6.707317	Colonize	83	36.876057	6.707317	Colonize	83	17.12755	6.707317	Colonize	83	17.620121	6.6829267	Colonize	83	27.907734	6.5731707	Colonize	83	20.307497	6.4634147	Colonize	
84	84	24.19714	6.6987953	Colonize	84	37.190773	6.7228913	Colonize	84	17.39696	6.7228913	Colonize	84	17.748373	6.6987953	Colonize	84	28.161385	6.5903616	Colonize	84	20.460058	6.481928	Colonize	
85	85	24.438723	6.714286	Colonize	85	37.568806	6.7380953	Colonize	85	17.668646	6.7380953	Colonize	85	17.914022	6.714286	Colonize	85	28.348148	6.607143	Colonize	85	20.566854	6.5	Colonize	
86	86	24.642479	6.7294116	Colonize	86	37.864365	6.752941	Colonize	86	17.902998	6.752941	Colonize	86	18.254631	6.7058825	Colonize	86	28.796415	6.6	Colonize	86	20.66947	6.5176473	Colonize	
87	87	24.859274	6.744186	Colonize	87	38.166355	6.7674417	Colonize	87	18.097727	6.7674417	Colonize	87	18.473513	6.6744184	Colonize	87	29.144138	6.5930233	Colonize	87	20.977373	6.5116277	Colonize	
88	88	25.021347	6.7586207	Colonize	88	38.425915	6.781609	Colonize	88	18.376392	6.781609	Colonize	88	18.668	6.6896553	Colonize	88	29.472258	6.609195	Colonize	88	21.233507	6.4827585	Colonize	
89	89	25.159615	6.7727275	Colonize	89	38.664154	6.7727275	Colonize	89	18.543962	6.7727275	Colonize	89	18.765547	6.7045455	Colonize	89	29.726171	6.625	Colonize	89	21.400343	6.5	Colonize	
90	90	25.374136	6.7865167	Colonize	90	38.89659	6.7865167	Colonize	90	18.98828	6.764045	Colonize	90	18.831697	6.719101	Colonize	90	29.89984	6.6179776	Colonize	90	21.587868	6.516854	Colonize	
91	91	25.64932	6.8	Colonize	91	39.063038	6.8	Colonize	91	19.40302	6.7555556	Colonize	91	18.957594	6.733333	Colonize	91	30.07265	6.633333	Colonize	91	21.785023	6.5333333	Colonize	
92	92	25.926205	6.7912087	Colonize	92	39.4771	6.7912087	Colonize	92	19.802568	6.769231	Colonize	92	19.116058	6.747253	Colonize	92	30.380617	6.6483517	Colonize	92	22.10056	6.5274725	Colonize	
93	93	26.177847	6.7826085	Colonize	93	39.857426	6.7826085	Colonize	93	20.078865	6.7826085	Colonize	93	19.223486	6.7608695	Colonize	93	30.521574	6.6630435	Colonize	93	22.383148	6.5	Colonize	
94	94	26.397152	6.795699	Colonize	94	40.21463	6.795699	Colonize	94	20.384562	6.795699	Colonize	94	19.29735	6.774194	Colonize	94	30.6167	6.677419	Colonize	94	22.527262	6.516129	Colonize	
95	95	26.649212	6.808511	Colonize	95	40.56918	6.808511	Colonize	95	20.656252	6.787234	Colonize	95	19.404322	6.787234	Colonize	95	30.771765	6.691489	Colonize	95	22.731438	6.5319147	Colonize	
96	96	27.039827	6.8210526	Colonize	96	40.90896	6.8210526	Colonize	96	20.898062	6.8	Colonize	96	19.459982	6.8	Colonize	96	30.87345	6.705263	Colonize	96	22.933994	6.5473685	Colonize	
97	97	27.373123	6.8125	Colonize	97	41.168217	6.8125	Colonize	97	21.173864	6.8125	Colonize	97	19.507635	6.8125	Colonize	97	30.961657	6.71875	Colonize	97	23.222445	6.5416665	Colonize	
98	98	27.705673	6.804124	Colonize	98	41.434837	6.8247423	Colonize	98	21.643208	6.804124	Colonize	98	19.857605	6.804124	Colonize	98	31.09059	6.731959	Colonize	98	23.47016	6.5360823	Colonize	
99	99	28.002455	6.8163266	Colonize	99	41.626923	6.836735	Colonize	99	22.105087	6.7959185	Colonize	99	20.097239	6.7755103	Colonize	99	31.22101	6.744898	Colonize	99	23.705454	6.5306125	Colonize	
100	100	28.456182	6.8080807	Colonize	100	41.88781	6.848485	Colonize	100	22.509985	6.8080807	Colonize	100	20.247734	6.787879	Colonize	100	31.621456	6.737374	Colonize	100	23.907017	6.5656567	Colonize	
101	101	28.882769	6.78	Colonize	101	42.21678	6.86	Colonize	101	22.920925	6.82	Colonize	101	20.343302	6.8	Colonize	101	31.967442	6.73	Colonize	101	24.118309	6.58	Colonize	
102	102	29.18982	6.792079	Colonize	102	42.56575	6.8514853	Colonize	102	23.30604	6.811881	Colonize	102	20.40986	6.811881	Colonize	102	32.239506	6.742574	Colonize	102	24.35268	6.5940595	Colonize	
103	103	29.71657	6.8039217	Colonize	103	42.86542	6.8431373	Colonize	103	23.539724	6.8235292	Colonize	103	20.527618	6.8235292	Colonize	103	32.37721	6.754902	Colonize	103	24.595104	6.607843	Colonize	
104	104	30.05111	6.776699	Colonize	104	43.163517	6.8349514	Colonize	104	23.782892	6.8349514	Colonize	104	20.657122	6.8349514	Colonize	104	32.351948	6.76699	Contest	104	24.785208	6.6019416	Colonize	
105	105	30.445967	6.769231	Colonize	105	43.445263	6.8653846	Colonize	105	24.07484	6.8461537	Colonize	105	20.770456	6.8461537	Colonize	105	32.322647	6.7788463	Contest	105	24.91978	6.6153846	Colonize	
106	106	30.920427	6.7809525	Colonize	106	43.601437	6.8761907	Colonize	106	24.437904	6.838095	Colonize	106	20.91594	6.857143	Colonize	106	32.28258	6.7904763	Contest	106	25.11231	6.6285715	Colonize	
107	107	31.314228	6.754717	Colonize	107	43.73875	6.8679247	Colonize	107	24.746454	6.811321	Colonize	107	21.076609	6.8679247	Colonize	107	32.2377	6.8018866	Contest	107	25.357603	6.6415095	Colonize	
108	108	31.565905	6.766355	Colonize	108	43.88896	6.8785048	Colonize	108	24.903688	6.82243	Colonize	108	21.171673	6.8785048	Colonize	108	32.256912	6.813084	Contest	108	25.594236	6.654206	Colonize	
109	109	31.872484	6.7777777	Colonize	109	44.05011	6.888889	Colonize	109	25.108614	6.8333335	Colonize	109	21.532515	6.888889	Colonize	109	32.282387	6.8240743	Contest	109	25.815983	6.6666665	Colonize	
110	110	32.08196	6.7706423	Colonize	110	44.230465	6.8990827	Colonize	110	25.344103	6.8440366	Colonize	110	21.88415	6.880734	Colonize	110	32.25628	6.834862	Contest	110	25.980547	6.6788993	Colonize	
111	111	32.393856	6.7818184	Colonize	111	44.435772	6.909091	Colonize	111	25.546041	6.8545456	Colonize	111	21.992266	6.8727274	Colonize	111	32.213066	6.8454547	Contest	111	26.182714	6.690909	Colonize	
112	112	32.684753	6.7747746	Colonize	112	44.76596	6.900901	Colonize	112	25.689138	6.864865	Colonize	112	22.137476	6.882883	Colonize	112	32.215992	6.855856	Contest	112	26.388779	6.7027025	Colonize	
113	113	32.893105	6.767857	Colonize	113	45.0907	6.892857	Colonize	113	25.778255	6.875	Colonize	113	22.254873	6.892857	Colonize	113	32.38882	6.848214	Contest	113	26.595083	6.714286	Colonize	
114	114	33.27757	6.778761	Colonize	114	45.38011	6.9026546	Colonize	114	25.876326	6.884956	Colonize	114	22.386152	6.9026546	Colonize	114	32.7369	6.840708	Colonize	114	26.769918	6.7256637	Colonize	
115	115	33.61115	6.7719297	Colonize	115	45.60424	6.894737	Colonize	115	25.99679	6.894737	Colonize	115	22.520735	6.9122806	Colonize	115	32.994167	6.8333335	Colonize	115	26.87146	6.736842	Colonize	
116	116	33.794254	6.7652173	Colonize	116	45.79512	6.904348	Colonize	116	26.090694	6.904348	Colonize	116	22.660242	6.921739	Colonize	116	33.24931	6.826087	Colonize	116	27.196436	6.730435	Colonize	
117	117	33.94817	6.7586207	Colonize	117	46.037453	6.913793	Colonize	117	26.131485	6.913793	Colonize	117	22.803759	6.9310346	Colonize	117	33.43153	6.8534484	Contest	117	27.467247	6.724138	Colonize	
118	118	34.11399	6.820513	Colonize	118	46.301414	6.923077	Colonize	118	26.196508	6.923077	Colonize	118	22.93565	6.940171	Colonize	118	33.383728	6.863248	Contest	118	27.706736	6.7350426	Colonize	
119	119	34.25909	6.8644066	Colonize	119	46.538242	6.9322033	Colonize	119	26.493908	6.915254	Colonize	119	23.360792	6.9491525	Colonize	119	33.559517	6.8728814	Contest	119	27.930002	6.745763	Colonize	
120	120	34.429203	6.890756	Colonize	120	46.76636	6.9411764	Colonize	120	26.722622	6.907563	Colonize	120	23.701975	6.92437	Colonize	120	33.877777	6.865546	Colonize	120	28.12226	6.7563024	Colonize	
121	121	34.65695	6.9	Colonize	121	46.939415	6.95	Colonize	121	26.936266	6.9	Colonize	121	23.871805	6.9333334	Colonize	121	34.025517	6.858333	Contest	121	28.346508	6.766667	Colonize	
122	122	34.796425	6.892562	Colonize	122	47.246284	6.9421487	Colonize	122	27.129597	6.9256196	Colonize	122	24.040934	6.9421487	Colonize	122	34.232796	6.867769	Colonize	122	28.554796	6.7768593	Colonize	
123	123	34.90655	6.9180326	Colonize	123	47.519608	6.9344263	Colonize	123	27.377934	6.9344263	Colonize	123	24.236359	6.9508195	Colonize	123	34.2866	6.877049	Contest	123	28.742182	6.7868853	Colonize	
124	124	35.076656	6.9430895	Colonize	124	47.770145	6.9430895	Colonize	124	27.533762	6.9268293	Colonize	124	24.359566	6.9593496	Colonize	124	34.409203	6.886179	Contest	124	28.949368	6.796748	Colonize	
